season,team,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,made_playoffs,round_reached
2013:2014,Washington Capitals,82,5037.1,4522,4975,47.62,3365,3764,47.2,2413,2751,46.73,209.62,230.21,47.66,2074,2278,47.66,1279,1384,48.03,171,184,48.17,13.37,86.71,771,860,47.27,585,631,48.11,109,106,50.7,18.63,83.2,1303,1418,47.89,694,753,47.96,62,78,44.29,8.93,89.64,2103,2343,47.3,1063,1291,45.16,52,43,54.74,4.89,96.67,9.32,91.68,1.01,0,0
2013:2014,Vancouver Canucks,82,5007.85,4807,4491,51.7,3558,3274,52.08,2527,2328,52.05,209.2,209.51,49.96,2126,2137,49.87,1194,1231,49.24,145,179,44.75,12.14,85.46,871,817,51.6,618,579,51.63,100,119,45.66,16.18,79.45,1255,1320,48.74,576,652,46.91,45,60,42.86,7.81,90.8,2250,2029,52.58,1201,1028,53.88,43,32,57.33,3.58,96.89,7.56,90.72,0.983,0,0
2013:2014,Toronto Maple Leafs,82,5007.2333,4265,5508,43.64,3157,4230,42.74,2292,2945,43.77,197.77,253.13,43.86,1903,2404,44.18,1182,1423,45.37,177,203,46.58,14.97,85.73,719,929,43.63,549,670,45.04,108,124,46.55,19.67,81.49,1184,1475,44.53,633,753,45.67,69,79,46.62,10.9,89.51,2063,2744,42.92,1043,1423,42.3,39,44,46.99,3.74,96.91,9.69,91.44,1.011,0,0
2013:2014,Tampa Bay Lightning,82,5012.9333,4478,4527,49.73,3443,3406,50.27,2447,2399,50.5,204.13,208.13,49.52,2144,2095,50.58,1332,1315,50.32,190,176,51.91,14.26,86.62,809,804,50.15,600,607,49.71,117,111,51.32,19.5,81.71,1335,1291,50.84,732,708,50.83,73,65,52.9,9.97,90.82,2065,2103,49.54,1059,1014,51.09,39,28,58.21,3.68,97.24,9.48,91.29,1.008,1,1
2013:2014,Anaheim Ducks,82,4990.8833,4707,4678,50.15,3588,3436,51.08,2569,2354,52.18,242.55,222.87,52.11,2327,2221,51.17,1433,1299,52.45,218,180,54.77,15.21,86.14,1021,907,52.96,778,689,53.03,156,131,54.36,20.05,80.99,1306,1314,49.85,655,610,51.78,62,49,55.86,9.47,91.97,2069,2143,49.12,1050,978,51.78,40,22,64.52,3.81,97.75,10.24,91.38,1.016,1,2
2013:2014,Boston Bruins,82,4978.8167,4838,4278,53.07,3600,3227,52.73,2613,2385,52.28,211.66,186.89,53.11,2133,1906,52.81,1288,1170,52.4,202,134,60.12,15.68,88.55,817,745,52.3,631,593,51.55,143,85,62.72,22.66,85.67,1316,1161,53.13,657,577,53.24,59,49,54.63,8.98,91.51,2328,2050,53.17,1217,1087,52.82,50,35,58.82,4.11,96.78,9.87,92.83,1.027,1,2
2013:2014,Buffalo Sabres,82,4994.4667,3924,5121,43.38,2935,3883,43.05,2157,2817,43.37,180.99,247.79,42.21,1685,2379,41.46,1039,1483,41.2,124,191,39.37,11.93,87.12,777,979,44.25,594,729,44.9,93,118,44.08,15.66,83.81,908,1400,39.34,445,754,37.11,31,73,29.81,6.97,90.32,1903,2351,44.73,1030,1266,44.86,23,46,33.33,2.23,96.37,6.95,91.37,0.983,0,0
2013:2014,Carolina Hurricanes,82,4979.15,4929,4694,51.22,3619,3598,50.15,2561,2537,50.24,234.38,233.36,50.11,2175,2206,49.65,1265,1308,49.16,154,186,45.29,12.17,85.78,898,959,48.36,646,681,48.68,91,135,40.27,14.09,80.18,1277,1247,50.59,619,627,49.68,63,51,55.26,10.18,91.87,2348,2140,52.32,1216,1150,51.39,47,35,57.32,3.87,96.96,8.0,91.09,0.991,0,0
2013:2014,Columbus Blue Jackets,82,4976.7,4445,4424,50.12,3336,3343,49.95,2431,2524,49.06,206.83,200.07,50.83,2008,1896,51.43,1208,1207,50.02,187,170,52.38,15.48,85.92,831,775,51.74,637,612,51.0,132,112,54.1,20.72,81.7,1177,1121,51.22,571,595,48.97,55,58,48.67,9.63,90.25,2039,2087,49.42,1160,1230,48.54,34,42,44.74,2.93,96.59,9.26,91.52,1.008,1,1
2013:2014,Calgary Flames,82,4995.05,4243,4744,47.21,3124,3321,48.47,2199,2347,48.37,194.04,211.62,47.83,1856,2118,46.7,1136,1244,47.73,164,188,46.59,14.44,84.89,735,844,46.55,565,655,46.31,104,127,45.02,18.41,80.61,1121,1274,46.81,571,589,49.22,60,61,49.59,10.51,89.64,2052,2232,47.9,1004,1021,49.58,37,44,45.68,3.69,95.69,9.19,89.86,0.99,0,0
